"year","ccaa","codigo","situation","count","porcentaje"
2006,"Cantabria","6","para_b_menos6m",15706,0.9
2006,"Cantabria","6","parados",17395,0.04
2006,"Cantabria","6","total",484767,1
2006,"Castilla y León","7","activos",1143284,0.53
2006,"Castilla y León","7","asal_comp",728143,0.89
2006,"Castilla y León","7","asal_indef",577014,0.7
2006,"Castilla y León","7","asal_parc",50463,0.06
2006,"Castilla y León","7","asal_parc_inv",42441,0.05
2006,"Castilla y León","7","asal_temp",244031,0.3
2006,"Castilla y León","7","asalariados",821047,0.78
2006,"Castilla y León","7","c_propia",229490,0.22
2006,"Castilla y León","7","inac_desanim",14579,0.01
2006,"Castilla y León","7","inactivos",1005925,0.47
2006,"Castilla y León","7","ocupados",1050532,0.49
2006,"Castilla y León","7","para_b_1a2a",16426,0.18
2006,"Castilla y León","7","para_b_2a4a",8577,0.09
2006,"Castilla y León","7","para_b_4mas_a",8167,0.09
2006,"Castilla y León","7","para_b_6ma1a",15200,0.16
2006,"Castilla y León","7","para_b_menos6m",41111,0.44
2006,"Castilla y León","7","parados",92748,0.04
2006,"Castilla y León","7","total",2149206,1
2006,"Castilla-La Mancha","8","activos",888741,0.55
2006,"Castilla-La Mancha","8","asal_comp",581574,0.9
2006,"Castilla-La Mancha","8","asal_indef",414506,0.64
2006,"Castilla-La Mancha","8","asal_parc",36532,0.06
2006,"Castilla-La Mancha","8","asal_parc_inv",25565,0.04
2006,"Castilla-La Mancha","8","asal_temp",229164,0.36
2006,"Castilla-La Mancha","8","asalariados",643668,0.79
2006,"Castilla-La Mancha","8","c_propia",166491,0.21
2006,"Castilla-La Mancha","8","inac_desanim",11906,0.01
2006,"Castilla-La Mancha","8","inactivos",713678,0.45
2006,"Castilla-La Mancha","8","ocupados",810159,0.51
2006,"Castilla-La Mancha","8","para_b_1a2a",12357,0.16
2006,"Castilla-La Mancha","8","para_b_2a4a",6753,0.09
2006,"Castilla-La Mancha","8","para_b_4mas_a",3552,0.05
2006,"Castilla-La Mancha","8","para_b_6ma1a",12134,0.15
2006,"Castilla-La Mancha","8","para_b_menos6m",33331,0.42
2006,"Castilla-La Mancha","8","parados",78585,0.05
2006,"Castilla-La Mancha","8","total",1602419,1
2006,"Cataluña","9","activos",3729039,0.63
2006,"Cataluña","9","asal_comp",2544353,0.88
2006,"Cataluña","9","asal_indef",2126485,0.74
2006,"Cataluña","9","asal_parc",258704,0.09
2006,"Cataluña","9","asal_parc_inv",87586,0.03
2006,"Cataluña","9","asal_temp",764156,0.26
2006,"Cataluña","9","asalariados",2890645,0.83
2006,"Cataluña","9","c_propia",596302,0.17
