"ccaa","year","codigo","variable","value","porcentaje"
"Asturias (Principado de)","2008",3,"asal_temp_prueba",1018,0.0101821382490323
"Asturias (Principado de)","2008",3,"asal_temp_verbal",5819,0.058202222466718
"Asturias (Principado de)","2008",3,"asal_temp_formacion",3906,0.0390682043229078
"Asturias (Principado de)","2008",3,"asal_temp_circ_produccion",12682,0.126846637793937
"Asturias (Principado de)","2008",3,"asal_temp_temporada",3208,0.0320867382150252
"Asturias (Principado de)","2008",3,"asal_temp_otro",3405,0.0340571520019204
"Asturias (Principado de)","2008",3,"asal_temp_ns",13620,0.136228608007682
"Asturias (Principado de)","2008",3,"asal_indef",263529,0.724962655464682
"Asturias (Principado de)","2008",3,"asal_indef_permanente",261399,0.99191739808522
"Asturias (Principado de)","2008",3,"asal_indef_discontinuo",2130,0.00808260191477978
"Asturias (Principado de)","2008",3,"asal_completa",324944,0.893914009909025
"Asturias (Principado de)","2008",3,"asal_parcial",38563,0.106085990090975
"Asturias (Principado de)","2008",3,"asal_parcial_involuntaria",15453,0.400720898270363
"Asturias (Principado de)","2008",3,"asal_horas_pactadas",38,NA
"Asturias (Principado de)","2008",3,"asal_horas_hab",39,NA
"Asturias (Principado de)","2008",3,"asal_horas_dif",1,NA
"Asturias (Principado de)","2008",3,"asal_horas_extra",33971,0.0934534960812309
"Asturias (Principado de)","2008",3,"asal_extra_pagadas",19,NA
"Asturias (Principado de)","2008",3,"asal_extra_nopagadas",14,NA
"Asturias (Principado de)","2008",3,"parados",42360,0.0849524298480643
"Asturias (Principado de)","2008",3,"parados_nuevo_emp",3934,0.0928706326723324
"Asturias (Principado de)","2008",3,"parados_busca",38426,0.907129367327668
"Asturias (Principado de)","2008",3,"parados_no_busca",0,0
"Asturias (Principado de)","2008",3,"parados_tb_4mas_a",3579,0.0844900849858357
"Asturias (Principado de)","2008",3,"parados_tb_2a4a",3889,0.0918083097261568
"Asturias (Principado de)","2008",3,"parados_tb_1a2a",5534,0.130642115203022
"Asturias (Principado de)","2008",3,"parados_tb_6ma1a",6666,0.157365439093484
"Asturias (Principado de)","2008",3,"parados_tb_menos6m",17148,0.404815864022663
"Asturias (Principado de)","2008",3,"inac_desanimados",5827,0.0130021398750884
"Asturias (Principado de)","2008",3,"inactivos",448157,0.473344613577696
"Balears (Illes)","2008",4,"total",1050675,1
"Balears (Illes)","2008",4,"menores",171212,0.162954291288933
"Balears (Illes)","2008",4,"mayores",879463,0.837045708711067
"Balears (Illes)","2008",4,"activos",571588,0.649928422230384
"Balears (Illes)","2008",4,"ocupados",513496,0.898367355507813
"Balears (Illes)","2008",4,"asalariados",417141,0.812354916104507
